name,smiles,aryl,core,linker,warhead,MW,logP,QED,nRot,sim_parent
gen_CF3-ph_7-deaz_pipe_acety,CC(=O)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,7-deazapurine,piperidine,acetyl,388.4,2.48,0.802,1,0.215
gen_CF3-ph_7-deaz_pipe_cyclo,O=C(C1CC1)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,7-deazapurine,piperidine,cyclopropanecarbonyl,414.4,2.87,0.807,2,0.2
gen_CF3-ph_thieno_azet_acryl,C=CC(=O)N1CC2CN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,thienopyrimidine,azetidine,acrylamide,389.4,2.6,0.729,2,0.298
gen_CF3-ph_thieno_azet_cyclo,O=C(C1=CCC1)N1CC2CN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,thienopyrimidine,azetidine,cyclobutenylamide,415.4,3.13,0.743,2,0.287
gen_CF3-ph_thieno_azet_fluor,C=C(F)C(=O)N1CC2CN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,thienopyrimidine,azetidine,fluoroacrylamide,407.4,2.9,0.558,2,0.225
gen_CF3-ph_thieno_azet_propi,C#CC(=O)N1CC2CN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,thienopyrimidine,azetidine,propiolamide,387.4,2.05,0.691,1,0.211
gen_CF3-ph_thieno_azet_acety,CC(=O)N1CC2CN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,thienopyrimidine,azetidine,acetyl,377.4,2.43,0.753,1,0.218
gen_CF3-ph_thieno_azet_cyclo,O=C(C1CC1)N1CC2CN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,thienopyrimidine,azetidine,cyclopropanecarbonyl,403.4,2.82,0.761,2,0.216
gen_CF3-ph_thieno_pyrr_acryl,C=CC(=O)N1CCC2CN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,thienopyrimidine,pyrrolidine,acrylamide,403.4,2.99,0.711,2,0.278
gen_CF3-ph_thieno_pyrr_cyclo,O=C(C1=CCC1)N1CCC2CN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,thienopyrimidine,pyrrolidine,cyclobutenylamide,429.5,3.52,0.721,2,0.267
gen_CF3-ph_thieno_pyrr_fluor,C=C(F)C(=O)N1CCC2CN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,thienopyrimidine,pyrrolidine,fluoroacrylamide,421.4,3.29,0.542,2,0.211
gen_CF3-ph_thieno_pyrr_propi,C#CC(=O)N1CCC2CN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,thienopyrimidine,pyrrolidine,propiolamide,401.4,2.44,0.677,1,0.198
gen_CF3-ph_thieno_pyrr_acety,CC(=O)N1CCC2CN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,thienopyrimidine,pyrrolidine,acetyl,391.4,2.82,0.737,1,0.217
gen_CF3-ph_thieno_pyrr_cyclo,O=C(C1CC1)N1CCC2CN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,thienopyrimidine,pyrrolidine,cyclopropanecarbonyl,417.5,3.21,0.74,2,0.202
gen_CF3-ph_thieno_pipe_acryl,C=CC(=O)N1CCC2CCN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,thienopyrimidine,piperidine,acrylamide,417.5,3.38,0.691,2,0.275
gen_CF3-ph_thieno_pipe_cyclo,O=C(C1=CCC1)N1CCC2CCN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,thienopyrimidine,piperidine,cyclobutenylamide,443.5,3.91,0.694,2,0.261
gen_CF3-ph_thieno_pipe_fluor,C=C(F)C(=O)N1CCC2CCN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,thienopyrimidine,piperidine,fluoroacrylamide,435.4,3.68,0.524,2,0.208
gen_CF3-ph_thieno_pipe_propi,C#CC(=O)N1CCC2CCN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,thienopyrimidine,piperidine,propiolamide,415.4,2.83,0.661,1,0.196
gen_CF3-ph_thieno_pipe_acety,CC(=O)N1CCC2CCN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,thienopyrimidine,piperidine,acetyl,405.4,3.21,0.719,1,0.215
gen_CF3-ph_thieno_pipe_cyclo,O=C(C1CC1)N1CCC2CCN=c3sccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,thienopyrimidine,piperidine,cyclopropanecarbonyl,431.5,3.6,0.717,2,0.2
gen_CN-phe_9Me-pu_pyrr_cyclo,Cn1cnc2c1=NCC1CCN(C(=O)C3=CCC3)C1=NC=2c1ccc(C#N)cc1,CN-phenyl,9Me-purine,pyrrolidine,cyclobutenylamide,384.4,1.05,0.775,2,0.303
gen_CN-phe_9Me-pu_pipe_cyclo,Cn1cnc2c1=NCCC1CCN(C(=O)C3=CCC3)C1=NC=2c1ccc(C#N)cc1,CN-phenyl,9Me-purine,piperidine,cyclobutenylamide,398.5,1.44,0.767,2,0.297
gen_CN-phe_9Me-pu_pipe_fluor,C=C(F)C(=O)N1CCC2CCN=c3c(ncn3C)=C(c3ccc(C#N)cc3)N=C21,CN-phenyl,9Me-purine,piperidine,fluoroacrylamide,390.4,1.2,0.722,2,0.253
