gene,log2FC,mean_case,mean_ctrl,t,p,padj,log2FC_GSE121212,replicated,log2FC_AD,axis,psoriasis_specificity
PLA2G3,1.8491107528073156,4.341943352853784,2.4928326000464684,27.301355597652208,4.702273098768677e-64,5.5038810719052265e-62,1.7112024283252927,True,1.5458886396003715,inflammatory_up,0.30322211320694414
CNFN,2.8687180947026896,10.629109921783511,7.760391827080822,27.287093535885788,7.570368495433859e-64,8.723529277877854e-62,2.580789614495057,True,1.330937628467935,inflammatory_up,1.5377804662347545
ETNK2,-1.4221070714976105,1.3471640641328837,2.769271135630494,-27.044108137517462,7.771301636316217e-64,8.886184524910812e-62,-1.2667616714870609,True,-0.8914998939948229,silenced_down,-0.5306071775027876
IGFL2,-2.5220971418409848,2.357093521659804,4.879190663500789,-27.21524685324362,8.004117419895035e-64,9.082534766926696e-62,-1.9057052037061752,True,-0.9793589408505383,silenced_down,-1.5427382009904465
SDR9C7,1.45294297473583,5.881834080813839,4.428891106078009,27.23414664136898,8.071420498972293e-64,9.089520130092663e-62,1.0786529331758317,True,0.22540583182389184,inflammatory_up,1.2275371429119382
GINS3,1.0310706494010455,2.9754569866044362,1.9443863372033907,26.97145873004358,1.1168172979073632e-63,1.2482322656686431e-61,1.5516360413885888,True,0.6882027310112555,inflammatory_up,0.34286791838979
LCN2,4.435645011115314,7.919263640475828,3.483618629360514,28.236777248434482,1.4176030434428286e-63,1.572587256774451e-61,5.1183349392025645,True,2.0355616010847237,inflammatory_up,2.4000834100305903
TMPRSS4,2.0408455368242824,3.1504929266105357,1.1096473897862533,27.414147607361993,1.4441091621051796e-63,1.59012464405137e-61,3.182435595785278,True,3.321672224500773,inflammatory_up,-1.2808266876764907
SOX5,-1.0564393659115323,0.5484757658929469,1.6049151318044792,-27.204052805597726,1.6941369374228752e-63,1.824880114115293e-61,-2.273099567610417,True,-0.956280417611822,silenced_down,-0.10015894829971028
PHYHIP,-2.352557572544642,1.3237462424855289,3.676303815030171,-26.880707107726757,1.7635690715829154e-63,1.87253244636286e-61,-3.210618161526814,True,-2.9889983064351453,silenced_down,0.6364407338905034
MXD1,1.5118466912253612,3.9096168122440913,2.39777012101873,29.905435629719605,2.3761186017713326e-63,2.50503567484616e-61,1.3155828606362077,True,0.9651893275432286,inflammatory_up,0.5466573636821326
GDA,2.8992488046370304,3.095615536640523,0.19636673200349286,37.059736384336446,3.1259577451208976e-63,3.27234942825508e-61,5.1626403616434065,True,2.0164835390263622,inflammatory_up,0.8827652656106681
TNNC1,-1.904389605214146,0.8311328864472851,2.735522491661431,-27.040915982442367,3.363649953358312e-63,3.479250648168492e-61,-1.925603627234506,True,-1.905306344714584,silenced_down,0.0009167395004379131
ANG,-1.501908469061644,2.952236598526339,4.454145067587983,-28.360210092891208,4.034531769387987e-63,4.136090672548443e-61,-0.9694201920119014,True,-0.6300289548187323,silenced_down,-0.8718795142429117
KIF2C,1.2140585888858122,2.673999027817642,1.45994043893183,26.96774462655098,4.919775268634105e-63,5.009072559468902e-61,1.3722900852781397,True,0.6257812842304449,inflammatory_up,0.5882773046553673
ADCY2,-1.2232829228115374,1.1362450394940604,2.359527962305598,-29.032407881643664,1.594758290151582e-62,1.6126586383063447e-60,-1.6444439111446902,True,-0.19942261056584254,silenced_down,-1.0238603122456948
GRHL3,1.4993703202729298,5.593417174768159,4.094046854495229,27.544962505051814,1.6615913802213317e-62,1.6688889099317632e-60,0.7630211629438675,True,0.5584555593936784,inflammatory_up,0.9409147608792514
VNN3,2.2344712616477644,2.2529923307525537,0.01852106910478908,42.703043916805214,2.1267439248602435e-62,2.107603229536501e-60,3.7509961339176203,True,0.5913052053052344,inflammatory_up,1.64316605634253
KCNK6,1.0034223904355386,4.83998599981743,3.8365636093818916,26.347697158594837,3.678498976203407e-62,3.621250813328718e-60,1.182105462911494,True,1.1243802188723784,inflammatory_up,-0.12095782843683978
PRSS22,2.9284841842802978,4.785953127367826,1.857468943087528,26.38621741638499,3.7210400939709208e-62,3.639030328741956e-60,3.575314772347823,True,2.8095396193366633,inflammatory_up,0.11894456494363448
BIRC5,1.3271019007803302,3.1596675069629154,1.8325656061825852,27.237880094775644,5.287773716100658e-62,5.137435051623287e-60,1.1234214726602023,True,0.6722480948381448,inflammatory_up,0.6548538059421853
PLK1,1.4722153837217908,3.292027117467875,1.8198117337460842,26.232266326337765,5.893102327774943e-62,5.688374422232113e-60,1.083722401343831,True,0.5238965652117464,inflammatory_up,0.9483188185100444
IL17RE,-1.0980153021222554,2.7903219223823186,3.888337224504574,-26.320726224025623,7.775050005323487e-62,7.456523763169913e-60,-1.2773266131077614,True,-0.21847507492940466,silenced_down,-0.8795402271928507
PTTG1,1.440096783590156,4.476855213660521,3.036758430070365,27.051598266052792,9.20305039757201e-62,8.769445138455637e-60,1.4509358771695786,True,0.7458591560752752,inflammatory_up,0.6942376275148807
EPHB2,1.7310801838153387,2.941555174792541,1.2104749909772023,27.73100059654948,9.385699108477934e-62,8.886523391562069e-60,3.2334710607270383,True,0.9505958395557703,inflammatory_up,0.7804843442595684
FAM83A,2.0938856160173938,4.007931305857299,1.9140456898399052,26.16170830333253,1.0508041304600671e-61,9.886204683094239e-60,2.7241784412796557,True,1.398629658123812,inflammatory_up,0.6952559578935817
A2ML1,2.245418386256871,6.742005258608354,4.496586872351483,26.117826908909404,1.104662846582503e-61,1.0327555480785476e-59,1.6087576444956042,True,0.2259733376405375,inflammatory_up,2.0194450486163333
