gene,log2FC,mean_case,mean_ctrl,t,p,padj
FAM125B,-0.48455287232551325,1.6152334412687492,2.0997863135942625,-13.05947833356054,2.987548496931954e-27,1.8419704855617377e-26
USP4,-0.30569800519799806,4.169119711342331,4.474817716540329,-13.270473555658649,2.9874081271440126e-27,1.8419704855617377e-26
FAM160A2,-0.5071970667990398,2.524659853811305,3.0318569206103447,-13.0031164861337,2.9915843423961537e-27,1.8436940816633013e-26
PKIG,-0.6362543655138317,3.5788769895324712,4.215131355046303,-13.0720032289563,3.045393457522107e-27,1.876078480980776e-26
LGR6,-0.752653928295197,1.3381326711385977,2.0907865994337946,-13.026717794280215,3.0517771937089522e-27,1.8792323108733876e-26
SCN7A,-0.7676821325062053,0.4963482868234595,1.2640304193296648,-13.341319788447548,3.1919885814540265e-27,1.9646392825312032e-26
CACNA1H,-1.042984284791173,0.5677933792422777,1.6107776640334506,-14.863788921165664,3.1931170579181885e-27,1.9646392825312032e-26
MYST4,-0.5319318857352591,2.1852204534740913,2.7171523392093504,-13.260812196457396,3.2048275951814143e-27,1.971028638906567e-26
AADAT,-0.4392376678678037,0.6181051269567849,1.0573427948245886,-12.970728678899057,3.2902667289044975e-27,2.0227384170870702e-26
MAN1C1,-0.707075536644838,2.2278143222011364,2.9348898588459744,-13.232412191750017,3.315872397603954e-27,2.0376371719877132e-26
OSBP2,0.5332994568057197,2.257745219969293,1.7244457631635732,12.946706275095888,3.347273488236418e-27,2.0560834877121633e-26
EDAR,-0.71325692428271,0.5016526638578083,1.2149095881405183,-13.690907198376618,3.3530141797444075e-27,2.0587590161875514e-26
ZNF530,-0.36835043508873855,0.8137982646839654,1.182148699772704,-13.13823950296956,3.385708615076864e-27,2.077975167758777e-26
APEH,0.5194029639578153,5.304024964843479,4.784622000885664,12.951910563940263,3.47947762407257e-27,2.1346444441534772e-26
TRUB2,0.3880104764345935,4.512376001546494,4.124365525111901,12.95943582176985,3.5087099916036514e-27,2.1516903475737738e-26
STMN3,-0.6714790226995038,3.448681830036912,4.120160852736416,-13.050749470808238,3.638934254193212e-27,2.2306291830343132e-26
CCDC102A,-0.6373367681284421,1.7724852298688156,2.4098219979972577,-12.95260183220756,3.6488440446934284e-27,2.2357818105675108e-26
P2RX7,-0.6873664905330612,2.12575474865935,2.8131212391924114,-13.009126110151604,3.651163959977409e-27,2.2362815107154587e-26
PHLPP1,-0.3405203064879476,2.7311809396556006,3.0717012461435482,-13.003799081452716,3.6970019598417244e-27,2.2634239758256688e-26
CYP7B1,0.9398926585733429,3.1836560059964696,2.2437633474231267,13.233663179102507,3.752157228266731e-27,2.2962460764999984e-26
OLFML1,-1.1021380227924111,3.177008129788818,4.279146152581229,-13.155488393604731,3.7838978675816005e-27,2.314717769613189e-26
PSMD12,0.6157726023476946,4.4370476891630215,3.821275086815327,13.564232765704304,3.798408890065602e-27,2.3226387556900524e-26
DDB1,-0.3398377759009428,5.868242826678334,6.208080602579277,-13.368421266672794,3.811924120800489e-27,2.3299445746586873e-26
COL4A5,-0.6140205202927804,2.019379879152981,2.6334003994457613,-12.949476847480277,3.833692471661609e-27,2.342286830713104e-26
QPRT,-0.7316789762273481,1.6557256476948126,2.3874046239221607,-12.956655937455588,3.865467925660374e-27,2.360730514171794e-26
IGFL3,-1.2427421274591794,2.861773634036759,4.104515761495938,-13.281445247450629,3.895693340477351e-27,2.3772365150326693e-26
GPR17,-0.5468228685174191,0.470208856916137,1.0170317254335561,-12.995390181440836,3.8952059811073466e-27,2.3772365150326693e-26
CDCA7L,-0.5133187753190223,3.3474224870090725,3.860741262328095,-12.974446415975121,3.961395984341315e-27,2.4163377639406506e-26
SLPI,0.9762421318181183,8.195911185041204,7.219669053223086,13.185805361520941,3.98254096994966e-27,2.4282391927113082e-26
SEMA3D,-0.9285649847344608,1.084263822892233,2.012828807626694,-12.928519360431087,3.986515134330947e-27,2.4296657430024407e-26
LY6D,1.033010627242291,9.949292081230634,8.916281453988343,12.917500627013238,4.0585987047735626e-27,2.4725848256745493e-26
WASF3,-0.5964530368527552,1.8344270753977925,2.4308801122505477,-12.926363833242041,4.094390649295202e-27,2.493368168855927e-26
OS9,-0.41938186953051115,6.5950658197046215,7.014447689235133,-12.961298129331842,4.106413121951544e-27,2.4996654814827888e-26
TRIM45,-0.6390589985289205,0.7375047933650297,1.3765637918939502,-13.92415483352171,4.118070662955737e-27,2.5057355875905455e-26
BST1,-0.7759908929971064,1.6031358603149484,2.379126753312055,-12.921972480422914,4.161334082904757e-27,2.531024187495058e-26
KCNA6,-0.8056243485554704,0.7941344508611634,1.5997587994166338,-13.028849926162005,4.189581182798621e-27,2.5471625473333947e-26
BHMT2,-0.7132906634178585,0.9244451359810132,1.6377357993988717,-12.920007420396733,4.2078827768482365e-27,2.5572435600101812e-26
LOC401093,-0.4389959819329141,1.3771845501698075,1.8161805321027216,-12.912459476828289,4.2143232888057705e-27,2.560110980306407e-26
PCP4L1,1.4473785357797344,3.868844698557042,2.4214661627773078,12.920606854477235,4.288042860239402e-27,2.603829947608607e-26
PKMYT1,0.7293617775857189,3.031857937625189,2.30249616003947,12.90803732552607,4.3230504300310064e-27,2.6240157061008947e-26
ODF3B,1.1356846739458648,3.79196463483006,2.6562799608841954,12.915021953651712,4.346277712747992e-27,2.637037477550976e-26
FFAR2,0.5350897680136678,1.1344605981849725,0.5993708301713047,12.992624529316688,4.389362463178019e-27,2.662091922282385e-26
SLC25A42,-0.6277824907176925,1.3996098119048344,2.027392302622527,-12.927928000263115,4.420891017898866e-27,2.680120105263729e-26
MOSC2,-0.7874765546908409,1.5230702687769406,2.3105468234677815,-12.97987392619645,4.5125059387244955e-27,2.734545486308179e-26
CD9,-0.38783928089617525,8.027069570837604,8.41490885173378,-12.996917423356173,4.5308375230057566e-27,2.744535443336617e-26
DNMT3B,0.45991213429560385,1.4792909542751937,1.01937881997959,12.937462381586595,4.6055196457531665e-27,2.788637455565003e-26
CES4,-0.9527752070931175,0.7088827100374722,1.6616579171305896,-13.237419610718375,4.7156813893945295e-27,2.8541776813253125e-26
IL16,-0.6996452152375814,2.3801153314992867,3.079760546736868,-13.069361360672364,4.838175797922234e-27,2.927125894835735e-26
LOC644538,-0.6936559450001354,1.5740269568664715,2.267682901866607,-12.900340041395122,4.9587028313631096e-27,2.998824962905314e-26
TMPRSS11E,-1.5981177718297808,0.9103817127085172,2.508499484538298,-13.476990789877183,4.973692396762018e-27,3.0066668352121755e-26
PCDH19,-0.4510131693983168,0.6089009859826593,1.059914155380976,-12.954036366895203,5.066857793983714e-27,3.06174150843772e-26
TMEM42,-0.6692054321693011,2.4442194228677874,3.1134248550370884,-13.060897754090023,5.136656229486064e-27,3.102657247107287e-26
RABL2B,-0.4406688820206548,2.1199244312932204,2.560593313313875,-12.882649574722286,5.139518275577939e-27,3.1031250676874923e-26
IRF6,-0.5023661044781491,5.21906127296431,5.721427377442459,-12.920866204590942,5.1494376663152505e-27,3.1078518436774744e-26
FUT10,-0.4951881223725829,1.5481859122477695,2.0433740346203524,-12.973434675673747,5.291197968242843e-27,3.1921127353055955e-26
WBP1,-0.6472235483377382,4.16031252912517,4.807536077462908,-13.083558978971613,5.727882133697844e-27,3.454156913485536e-26
FAM19A5,-0.978629681029261,1.6694518391014805,2.6480815201307415,-12.865533145102768,5.743167617937268e-27,3.4619702611775134e-26
