gene,meta_log2FC,meta_SE,meta_p,I2,n_cohorts,meta_padj,n_concordant
ADCYAP1R1,-0.6865242966466748,0.11959192379739575,9.436545767016469e-09,94.08465957087671,5,3.955408404654926e-08,5
HLA-C,0.2801840244496335,0.048808141589103786,9.438728243438277e-09,37.07612914798646,5,3.955408404654926e-08,5
GNA13,-0.3967592201615275,0.06912577517492687,9.486055052576603e-09,80.69563943447723,5,3.973784586334032e-08,5
LRP11,0.17224359731093664,0.03002609172094399,9.667352696141052e-09,50.732167827643416,5,4.046765874122464e-08,5
PGPEP1,-0.5071162396168493,0.08840164446915227,9.665171996076083e-09,92.77820084100473,5,4.046765874122464e-08,5
SPON1,-0.4565457978333474,0.07960531887294937,9.744519635646043e-09,64.77219407661535,5,4.0775749807725315e-08,5
KCNK5,-1.1034930695656546,0.19248341872445743,9.87130910345968e-09,88.83345786531709,5,4.129118392636336e-08,5
CYP1B1,-1.4689839817871129,0.25636066470394153,1.0034435726780089e-08,92.02696718183215,5,4.195818186852596e-08,5
ANKZF1,-0.20947250122309793,0.03656100615415733,1.0078855305906131e-08,9.134838949956471,5,4.2128509636972176e-08,4
BLM,1.1300230590464013,0.1972611819538536,1.0128508698414862e-08,98.40733962826708,5,4.2320581666768535e-08,5
TRIB2,0.779242565442077,0.1360410985037191,1.0162529484603056e-08,97.14247978756208,5,4.244721851223315e-08,5
IL20,1.1476704216486848,0.20049967446155365,1.0401332017906384e-08,94.13883585999653,5,4.3412934512123325e-08,4
AMMECR1L,-0.26899409693268733,0.046993589139017175,1.0400834193902142e-08,86.50433642121521,5,4.3412934512123325e-08,5
DENR,0.6251021487495992,0.10923733021427193,1.0501579605914912e-08,95.94212644133869,5,4.381534965504353e-08,5
RTF1,-0.3156406809567401,0.05517024700282413,1.0576680420371076e-08,93.16497540419067,5,4.41125905018906e-08,5
CDT1,0.9040135504535086,0.1580126668646539,1.0580787135339165e-08,95.65809775561395,5,4.411362455550596e-08,5
ALG8,0.27234413245344113,0.047609784737478573,1.0631140856531829e-08,57.229252269409024,5,4.43074014844593e-08,5
SPTBN1,-0.842224062276658,0.1472500867708008,1.0672193351268788e-08,98.52833181238468,5,4.4462286585898245e-08,5
ZCCHC2,-0.6847615853534247,0.11973228135681414,1.0708609998744123e-08,93.60751157994005,5,4.4597752096773336e-08,5
RAB5B,-0.38615242840926034,0.06753442046655324,1.0787333026840429e-08,91.59037976901968,5,4.490924659972316e-08,5
RASSF9,-0.7381829065075916,0.1291076899227628,1.0805495609389482e-08,93.67813792101298,5,4.4968484094117416e-08,5
GATAD1,-0.41560392301000304,0.07272159196156204,1.0970380381891687e-08,82.75381463189686,5,4.5638059871101075e-08,5
GATM,-0.918322811552015,0.16069650322856993,1.099359203671213e-08,97.02702152420206,5,4.571798623633796e-08,5
L3MBTL3,-0.31241758982726225,0.05467093724679949,1.1002090793965635e-08,69.95349304785896,5,4.573669162058733e-08,5
ZZZ3,-0.385390017914535,0.06745932552897534,1.1105110830911258e-08,89.33071398246504,5,4.614817412540076e-08,5
NOTCH2,-0.4197606765624591,0.07350240527845475,1.1241809927398094e-08,94.5672812234861,5,4.66992627507322e-08,4
SEC11C,0.5023288022692782,0.08796832867813546,1.1275268052557408e-08,91.5294688894233,5,4.682123660618826e-08,5
MDM4,-0.5049849613572045,0.08844691248338563,1.1332877081215997e-08,86.22428861651125,5,4.704337356298521e-08,5
UBLCP1,0.3264739847180838,0.057193574217465334,1.141581629227062e-08,82.20408136968247,5,4.73704580229538e-08,5
UHRF2,-0.4008340594048358,0.07022340766942349,1.1432243152142973e-08,82.81882317075606,5,4.742140918552194e-08,5
TRIAP1,0.29720279848473924,0.052072495341627036,1.1466014804284441e-08,80.88923347375462,5,4.7544244193899074e-08,5
ZBTB8OS,0.5101304769603284,0.08938612681885552,1.1495569163244568e-08,94.6319014088735,5,4.7649509308996334e-08,5
UBE2D1,0.5600699731896241,0.09815360628821737,1.156239770594425e-08,89.13459624979971,5,4.790914482579002e-08,5
FBXO5,0.5317163663514508,0.09319461797036872,1.1604245342411446e-08,90.83771198494152,5,4.806512056320567e-08,5
BIN2,0.44968414764539044,0.07882910142694598,1.1665435062369056e-08,86.46139649135384,5,4.8301069769287594e-08,5
ARHGAP26,-0.7378891562940592,0.1293655417081454,1.1709125002923315e-08,94.74171606297419,5,4.846441601499614e-08,5
OTUB2,1.7911966373068484,0.3140604780237245,1.174758357258554e-08,98.67867347083023,5,4.8605999059644555e-08,5
LSS,-0.5394113252332735,0.09459683853731028,1.182619002726426e-08,92.28552021528206,5,4.8913532703214555e-08,5
MAP2K5,-0.3814949519406797,0.06691818381450503,1.191652754251038e-08,91.20699894637887,5,4.9269346425308736e-08,5
